Team,Score,Overs,RR,Inns,,Opposition,Ground,Match Date,Scorecard
India,370/4,50,7.4,1,,v Bangladesh,Mirpur,19-Feb-11,ODI # 3100
New Zealand,358/6,50,7.16,1,,v Canada,Wankhede,13-Mar-11,ODI # 3129
South Africa,351/5,50,7.02,1,,v Netherlands,Mohali,03-Mar-11,ODI # 3115
India,338,49.5,6.78,1,,v England,Bengaluru,27-Feb-11,ODI # 3110
England,338/8,50,6.76,2,,v India,Bengaluru,27-Feb-11,ODI # 3110
Sri Lanka,332/7,50,6.64,1,,v Canada,Hambantota,20-Feb-11,ODI # 3102
West Indies,330/8,50,6.6,1,,v Netherlands,Delhi,28-Feb-11,ODI # 3112
Ireland,329/7,49.1,6.69,2,,v England,Bengaluru,02-Mar-11,ODI # 3114
England,327/8,50,6.54,1,,v Ireland,Bengaluru,02-Mar-11,ODI # 3114
Sri Lanka,327/6,50,6.54,1,,v Zimbabwe,Pallekele,10-Mar-11,ODI # 3125
Australia,324/6,50,6.48,1,,v Kenya,Bengaluru,13-Mar-11,ODI # 3130
Pakistan,317/7,50,6.34,1,,v Kenya,Hambantota,23-Feb-11,ODI # 3105
Zimbabwe,308/6,50,6.16,1,,v Kenya,Eden Gardens,20-Mar-11,ODI # 3140
Ireland,307/4,47.4,6.44,2,,v Netherlands,Eden Gardens,18-Mar-11,ODI # 3136
Netherlands,306,50,6.12,1,,v Ireland,Eden Gardens,18-Mar-11,ODI # 3136
New Zealand,302/7,50,6.04,1,,v Pakistan,Pallekele,08-Mar-11,ODI # 3123
South Africa,300/7,49.4,6.04,2,,v India,Nagpur,12-Mar-11,ODI # 3128
Zimbabwe,298/9,50,5.96,1,,v Canada,Nagpur,28-Feb-11,ODI # 3111
England,296/4,48.4,6.08,2,,v Netherlands,Nagpur,22-Feb-11,ODI # 3104
India,296,48.4,6.08,1,,v South Africa,Nagpur,12-Mar-11,ODI # 3128
Netherlands,292/6,50,5.84,1,,v England,Nagpur,22-Feb-11,ODI # 3104
South Africa,284/8,50,5.68,1,,v Bangladesh,Mirpur,19-Mar-11,ODI # 3138
Bangladesh,283/9,50,5.66,2,,v India,Mirpur,19-Feb-11,ODI # 3100
India,277/4,48.2,5.73,2,,v Sri Lanka,Wankhede,02-Apr-11,ODI # 3148
Pakistan,277/7,50,5.54,1,,v Sri Lanka,Colombo (RPS),26-Feb-11,ODI # 3109
West Indies,275,50,5.5,1,,v Ireland,Mohali,11-Mar-11,ODI # 3126
Sri Lanka,274/6,50,5.48,1,,v India,Wankhede,02-Apr-11,ODI # 3148
South Africa,272/7,50,5.44,1,,v Ireland,Eden Gardens,15-Mar-11,ODI # 3133
India,268,49.1,5.45,1,,v West Indies,Chennai,20-Mar-11,ODI # 3141
Sri Lanka,266/9,50,5.32,2,,v Pakistan,Colombo (RPS),26-Feb-11,ODI # 3109
Sri Lanka,265/9,50,5.3,1,,v New Zealand,Wankhede,18-Mar-11,ODI # 3137
Kenya,264/6,50,5.28,2,,v Australia,Bengaluru,13-Mar-11,ODI # 3130
Australia,262/6,50,5.24,1,,v Zimbabwe,Ahmedabad,21-Feb-11,ODI # 3103
India,261/5,47.4,5.47,2,,v Australia,Ahmedabad,24-Mar-11,ODI # 3143
Canada,261/9,50,5.22,2,,v New Zealand,Wankhede,13-Mar-11,ODI # 3129
Australia,260/6,50,5.2,1,,v India,Ahmedabad,24-Mar-11,ODI # 3143
India,260/9,50,5.2,1,,v Pakistan,Mohali,30-Mar-11,ODI # 3147
England,243,48.4,4.99,1,,v West Indies,Chennai,17-Mar-11,ODI # 3135
Sri Lanka,231/0,39.3,5.84,2,,v England,Colombo (RPS),26-Mar-11,ODI # 3145
Ireland,231,49,4.71,2,,v West Indies,Mohali,11-Mar-11,ODI # 3126
Pakistan,231,49.5,4.63,2,,v India,Mohali,30-Mar-11,ODI # 3147
England,229/6,50,4.58,1,,v Sri Lanka,Colombo (RPS),26-Mar-11,ODI # 3145
Bangladesh,227/8,49,4.63,2,,v England,Chattogram,11-Mar-11,ODI # 3127
West Indies,225,44.4,5.03,2,,v England,Chennai,17-Mar-11,ODI # 3135
England,225,49.4,4.53,1,,v Bangladesh,Chattogram,11-Mar-11,ODI # 3127
South Africa,223/3,42.5,5.2,2,,v West Indies,Delhi,24-Feb-11,ODI # 3106
West Indies,222,47.3,4.67,1,,v South Africa,Delhi,24-Feb-11,ODI # 3106
New Zealand,221/8,50,4.42,1,,v South Africa,Mirpur,25-Mar-11,ODI # 3144
Sri Lanka,220/5,47.5,4.59,2,,v New Zealand,Colombo (RPS),29-Mar-11,ODI # 3146
New Zealand,217,48.5,4.44,1,,v Sri Lanka,Colombo (RPS),29-Mar-11,ODI # 3146
