Team 1,Team 2,Winner,Margin,Ground,Match Date,Scorecard
Bangladesh,India,India,87 runs,Mirpur,19-Feb-11,ODI # 3100
Kenya,New Zealand,New Zealand,10 wickets,Chennai,20-Feb-11,ODI # 3101
Sri Lanka,Canada,Sri Lanka,210 runs,Hambantota,20-Feb-11,ODI # 3102
Australia,Zimbabwe,Australia,91 runs,Ahmedabad,21-Feb-11,ODI # 3103
England,Netherlands,England,6 wickets,Nagpur,22-Feb-11,ODI # 3104
Kenya,Pakistan,Pakistan,205 runs,Hambantota,23-Feb-11,ODI # 3105
South Africa,West Indies,South Africa,7 wickets,Delhi,24-Feb-11,ODI # 3106
Australia,New Zealand,Australia,7 wickets,Nagpur,25-Feb-11,ODI # 3107
Bangladesh,Ireland,Bangladesh,27 runs,Mirpur,25-Feb-11,ODI # 3108
Sri Lanka,Pakistan,Pakistan,11 runs,Colombo (RPS),26-Feb-11,ODI # 3109
India,England,tied,,Bengaluru,27-Feb-11,ODI # 3110
Canada,Zimbabwe,Zimbabwe,175 runs,Nagpur,28-Feb-11,ODI # 3111
Netherlands,West Indies,West Indies,215 runs,Delhi,28-Feb-11,ODI # 3112
Sri Lanka,Kenya,Sri Lanka,9 wickets,Colombo (RPS),01-Mar-11,ODI # 3113
England,Ireland,Ireland,3 wickets,Bengaluru,02-Mar-11,ODI # 3114
Netherlands,South Africa,South Africa,231 runs,Mohali,03-Mar-11,ODI # 3115
Canada,Pakistan,Pakistan,46 runs,Colombo (RPS),03-Mar-11,ODI # 3116
New Zealand,Zimbabwe,New Zealand,10 wickets,Ahmedabad,04-Mar-11,ODI # 3117
Bangladesh,West Indies,West Indies,9 wickets,Mirpur,04-Mar-11,ODI # 3118
Sri Lanka,Australia,no result,,Colombo (RPS),05-Mar-11,ODI # 3119
England,South Africa,England,6 runs,Chennai,06-Mar-11,ODI # 3120
India,Ireland,India,5 wickets,Bengaluru,06-Mar-11,ODI # 3121
Canada,Kenya,Canada,5 wickets,Delhi,07-Mar-11,ODI # 3122
New Zealand,Pakistan,New Zealand,110 runs,Pallekele,08-Mar-11,ODI # 3123
India,Netherlands,India,5 wickets,Delhi,09-Mar-11,ODI # 3124
Sri Lanka,Zimbabwe,Sri Lanka,139 runs,Pallekele,10-Mar-11,ODI # 3125
Ireland,West Indies,West Indies,44 runs,Mohali,11-Mar-11,ODI # 3126
Bangladesh,England,Bangladesh,2 wickets,Chattogram,11-Mar-11,ODI # 3127
India,South Africa,South Africa,3 wickets,Nagpur,12-Mar-11,ODI # 3128
Canada,New Zealand,New Zealand,97 runs,Wankhede,13-Mar-11,ODI # 3129
Australia,Kenya,Australia,60 runs,Bengaluru,13-Mar-11,ODI # 3130
Bangladesh,Netherlands,Bangladesh,6 wickets,Chattogram,14-Mar-11,ODI # 3131
Pakistan,Zimbabwe,Pakistan,7 wickets,Pallekele,14-Mar-11,ODI # 3132
Ireland,South Africa,South Africa,131 runs,Eden Gardens,15-Mar-11,ODI # 3133
Australia,Canada,Australia,7 wickets,Bengaluru,16-Mar-11,ODI # 3134
England,West Indies,England,18 runs,Chennai,17-Mar-11,ODI # 3135
Ireland,Netherlands,Ireland,6 wickets,Eden Gardens,18-Mar-11,ODI # 3136
New Zealand,Sri Lanka,Sri Lanka,112 runs,Wankhede,18-Mar-11,ODI # 3137
Bangladesh,South Africa,South Africa,206 runs,Mirpur,19-Mar-11,ODI # 3138
Australia,Pakistan,Pakistan,4 wickets,Colombo (RPS),19-Mar-11,ODI # 3139
Kenya,Zimbabwe,Zimbabwe,161 runs,Eden Gardens,20-Mar-11,ODI # 3140
India,West Indies,India,80 runs,Chennai,20-Mar-11,ODI # 3141
Pakistan,West Indies,Pakistan,10 wickets,Mirpur,23-Mar-11,ODI # 3142
India,Australia,India,5 wickets,Ahmedabad,24-Mar-11,ODI # 3143
New Zealand,South Africa,New Zealand,49 runs,Mirpur,25-Mar-11,ODI # 3144
Sri Lanka,England,Sri Lanka,10 wickets,Colombo (RPS),26-Mar-11,ODI # 3145
Sri Lanka,New Zealand,Sri Lanka,5 wickets,Colombo (RPS),29-Mar-11,ODI # 3146
India,Pakistan,India,29 runs,Mohali,30-Mar-11,ODI # 3147
India,Sri Lanka,India,6 wickets,Wankhede,02-Apr-11,ODI # 3148
