Player,Overs,Mdns,Runs,Wkts,SR,,Opposition,Ground,Match Date,Scorecard
Yuvraj Singh,10,0,31,5,12,,v Ireland,Bengaluru,06-Mar-11,ODI # 3121
Z Khan,6,0,26,3,12,,v West Indies,Chennai,20-Mar-11,ODI # 3141
Yuvraj Singh,4,0,18,2,12,,v West Indies,Chennai,20-Mar-11,ODI # 3141
SK Raina,2,0,12,1,12,,v West Indies,Chennai,20-Mar-11,ODI # 3141
Z Khan,6.4,0,20,3,13.3,,v Netherlands,Delhi,09-Mar-11,ODI # 3124
MM Patel,10,0,48,4,15,,v Bangladesh,Mirpur,19-Feb-11,ODI # 3100
Z Khan,9,1,30,3,18,,v Ireland,Bengaluru,06-Mar-11,ODI # 3121
Harbhajan Singh,9,0,53,3,18,,v South Africa,Nagpur,12-Mar-11,ODI # 3128
Z Khan,10,0,64,3,20,,v England,Bengaluru,27-Feb-11,ODI # 3110
Yuvraj Singh,9,1,43,2,27,,v Netherlands,Delhi,09-Mar-11,ODI # 3124
MM Patel,4.5,0,25,1,29,,v Ireland,Bengaluru,06-Mar-11,ODI # 3121
Z Khan,9.5,0,58,2,29.5,,v Pakistan,Mohali,30-Mar-11,ODI # 3147
Z Khan,10,0,40,2,30,,v Bangladesh,Mirpur,19-Feb-11,ODI # 3100
MM Patel,10,0,70,2,30,,v England,Bengaluru,27-Feb-11,ODI # 3110
PP Chawla,10,0,71,2,30,,v England,Bengaluru,27-Feb-11,ODI # 3110
PP Chawla,10,0,47,2,30,,v Netherlands,Delhi,09-Mar-11,ODI # 3124
MM Patel,10,0,65,2,30,,v South Africa,Nagpur,12-Mar-11,ODI # 3128
R Ashwin,10,0,41,2,30,,v West Indies,Chennai,20-Mar-11,ODI # 3141
R Ashwin,10,0,52,2,30,,v Australia,Ahmedabad,24-Mar-11,ODI # 3143
Z Khan,10,0,53,2,30,,v Australia,Ahmedabad,24-Mar-11,ODI # 3143
Yuvraj Singh,10,0,44,2,30,,v Australia,Ahmedabad,24-Mar-11,ODI # 3143
A Nehra,10,0,33,2,30,,v Pakistan,Mohali,30-Mar-11,ODI # 3147
MM Patel,10,1,40,2,30,,v Pakistan,Mohali,30-Mar-11,ODI # 3147
Harbhajan Singh,10,0,43,2,30,,v Pakistan,Mohali,30-Mar-11,ODI # 3147
Yuvraj Singh,10,1,57,2,30,,v Pakistan,Mohali,30-Mar-11,ODI # 3147
Z Khan,10,3,60,2,30,,v Sri Lanka,Wankhede,02-Apr-11,ODI # 3148
Yuvraj Singh,10,0,49,2,30,,v Sri Lanka,Wankhede,02-Apr-11,ODI # 3148
A Nehra,5,1,22,1,30,,v Netherlands,Delhi,09-Mar-11,ODI # 3124
YK Pathan,8,0,49,1,48,,v Bangladesh,Mirpur,19-Feb-11,ODI # 3100
Harbhajan Singh,9,1,35,1,54,,v West Indies,Chennai,20-Mar-11,ODI # 3141
Harbhajan Singh,10,0,41,1,60,,v Bangladesh,Mirpur,19-Feb-11,ODI # 3100
Harbhajan Singh,10,0,58,1,60,,v England,Bengaluru,27-Feb-11,ODI # 3110
Z Khan,10,0,43,1,60,,v South Africa,Nagpur,12-Mar-11,ODI # 3128
Harbhajan Singh,10,0,50,1,60,,v Sri Lanka,Wankhede,02-Apr-11,ODI # 3148
